Rule 5:
If child ?b, then successor ?b.
Mar a Isabella of Spain, Mar a Isabella of Spain has child Princess Maria Antonia of the Two Sicilies The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Victor Amadeus I Duke of Savoy, Victor Amadeus I Duke of Savoy has child Princess Catherine Beatrice of Savoy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Blanche of Artois, Blanche of Artois has child Thomas 2nd Earl of Lancaster The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Adelaide of Tours, Adelaide of Tours has child Odo of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ferdinand I Holy Roman Emperor, Ferdinand I Holy Roman Emperor has child Catherine of Austria Queen of Poland The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Pepin the Short, Pepin the Short has child Gisela Abbess of Chelles The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ferdinand III of Castile, Ferdinand III of Castile has child Ferdinand of Castile born 1238 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ferdinand I of the Two Sicilies, Ferdinand I of the Two Sicilies has child Princess Maria Isabella of Naples and Sicily The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Carolina of Austria, Maria Carolina of Austria has child Princess Maria Isabella of Naples and Sicily The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Amalia of Saxony, Maria Amalia of Saxony has child Infante Antonio Pascual of Spain The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles Martel, Charles Martel has child Hiltrud The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Baldwin V Count of Flanders, Baldwin V Count of Flanders has child Matilda of Flanders The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Amalia of Naples and Sicily, Maria Amalia of Naples and Sicily has child Ferdinand Philippe Duke of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Margaret Countess of Anjou, Margaret Countess of Anjou has child Margaret of Valois Countess of Blois The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ferdinand I of the Two Sicilies, Ferdinand I of the Two Sicilies has child Maria Henrietta of Naples and Sicily The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Carolina of Austria, Maria Carolina of Austria has child Maria Henrietta of Naples and Sicily The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Edward I of England, Edward I of England has child Joan of Acre The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Eleanor of Castile, Eleanor of Castile has child Joan of Acre The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Princess Elisabeth Albertine of Saxe Hildburghausen, Princess Elisabeth Albertine of Saxe Hildburghausen has child Charles II Grand Duke of Mecklenburg Strelitz The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Duke Charles Louis Frederick of Mecklenburg, Duke Charles Louis Frederick of Mecklenburg has child Charles II Grand Duke of Mecklenburg Strelitz The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Christine of Saxony, Christine of Saxony has child George I Landgrave of Hesse Darmstadt The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
John II of France, John II of France has child Marie of France Duchess of Bar The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Bonne of Luxembourg, Bonne of Luxembourg has child Marie of France Duchess of Bar The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis IX of France, Louis IX of France has child Peter I Count of Alen on The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Margaret of Provence, Margaret of Provence has child Peter I Count of Alen on The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Philip III of Spain, Philip III of Spain has child Maria Anna of Spain The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Margaret of Austria Queen of Spain, Margaret of Austria Queen of Spain has child Maria Anna of Spain The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
John II of France, John II of France has child John Duke of Berry The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Bonne of Luxembourg, Bonne of Luxembourg has child John Duke of Berry The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Catherine of Valois, Catherine of Valois has child Jasper Tudor The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Francis II Holy Roman Emperor, Francis II Holy Roman Emperor has child Maria Leopoldina of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Theresa of Naples and Sicily, Maria Theresa of Naples and Sicily has child Maria Leopoldina of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Christina of the Two Sicilies, Maria Christina of the Two Sicilies has child Mar a Cristina Mu oz y Borb n Marquise of la Isabela The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Catherine de Medici, Catherine de Medici has child Margaret of Valois The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Joan I of Navarre, Joan I of Navarre has child Isabella of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles X, Charles X has child Louis Antoine Duke of Angoul me The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Theresa of Savoy, Maria Theresa of Savoy has child Louis Antoine Duke of Angoul me The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
James I Count of La Marche, James I Count of La Marche has child Peter II Count of La Marche The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Eleanor of England Queen of Castile, Eleanor of England Queen of Castile has child Blanche of Castile The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Alfonso VIII of Castile, Alfonso VIII of Castile has child Blanche of Castile The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
John of Gaunt, John of Gaunt has child John Beaufort 1st Earl of Somerset The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Peter I of Portugal, Peter I of Portugal has child John Duke of Valencia de Campos The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
 thelwulf King of Wessex,  thelwulf King of Wessex has child  thelberht King of Wessex The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles Duke of Orl ans has successor Louis XII, Charles Duke of Orl ans has child Louis XII The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Marie of Cleves Duchess of Orl ans, Marie of Cleves Duchess of Orl ans has child Louis XII The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Conrad I of Burgundy, Conrad I of Burgundy has child Gerberga of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Matilda of France, Matilda of France has child Gerberga of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Berengar II of Italy, Berengar II of Italy has child Conrad of Ivrea The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Willa of Tuscany, Willa of Tuscany has child Conrad of Ivrea The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
James I Count of La Marche, James I Count of La Marche has child John I Count of La Marche The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Jacquetta of Luxembourg, Jacquetta of Luxembourg has child Elizabeth Woodville The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Agatha wife of Edward the Exile, Agatha wife of Edward the Exile has child Saint Margaret of Scotland The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charlemagne, Charlemagne has child Pepin the Hunchback The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Theresa of Naples and Sicily, Maria Theresa of Naples and Sicily has child Ferdinand I of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Francis II Holy Roman Emperor has successor Ferdinand I of Austria, Francis II Holy Roman Emperor has child Ferdinand I of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Louise Marie Ad la de de Bourbon Duchess of Orl ans, Louise Marie Ad la de de Bourbon Duchess of Orl ans has child Louis Philippe I The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis Philippe II Duke of Orl ans has successor Louis Philippe I, Louis Philippe II Duke of Orl ans has child Louis Philippe I The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Mary of Hungary Queen of Naples, Mary of Hungary Queen of Naples has child Maria of Naples The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ferdinand II of Aragon has successor Joanna of Castile, Ferdinand II of Aragon has child Joanna of Castile The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Anne Marie d Orl ans, Anne Marie d Orl ans has child Victor Amadeus Prince of Piedmont The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Victor Amadeus II of Sardinia, Victor Amadeus II of Sardinia has child Victor Amadeus Prince of Piedmont The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles Emmanuel I Duke of Savoy, Charles Emmanuel I Duke of Savoy has child Prince Maurice of Savoy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Eleanor of Provence, Eleanor of Provence has child Edmund Crouchback The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry III of England, Henry III of England has child Edmund Crouchback The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis II of Anjou, Louis II of Anjou has child Marie of Anjou The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Empress Jos phine, Empress Jos phine has child Hortense de Beauharnais The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henrietta of England, Henrietta of England has child Philippe Charles Duke of Valois The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Francis I Holy Roman Emperor, Francis I Holy Roman Emperor has child Archduchess Maria Carolina of Austria born 1740 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Theresa, Maria Theresa has child Archduchess Maria Carolina of Austria born 1740 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Teresa Felicitas d Este, Maria Teresa Felicitas d Este has child Louise Marie Ad la de de Bourbon Duchess of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Cosimo I de Medici Grand Duke of Tuscany, Cosimo I de Medici Grand Duke of Tuscany has child Giovanni de Medici cardinal The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Fulk King of Jerusalem, Fulk King of Jerusalem has child Baldwin III of Jerusalem The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Alfonso VII of Le n and Castile, Alfonso VII of Le n and Castile has child Stephanie Alfonso of Castile The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Landgravine Elisabeth Amalie of Hesse Darmstadt, Landgravine Elisabeth Amalie of Hesse Darmstadt has child Maria Sophia of Neuburg The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Leopold II Holy Roman Emperor, Leopold II Holy Roman Emperor has child Archduke Rudolf of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Luisa of Spain, Maria Luisa of Spain has child Archduke Rudolf of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Letizia Bonaparte, Letizia Bonaparte has child Lucien Bonaparte The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Vladimir the Great, Vladimir the Great has child Mstislav of Chernigov The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Robert II of France, Robert II of France has child Hugh Magnus The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Constance of Arles, Constance of Arles has child Hugh Magnus The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles VII of France, Charles VII of France has child Charlotte de Br z  The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Alfonso VIII of Castile, Alfonso VIII of Castile has child Eleanor of Castile died 1244 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Eleanor of England Queen of Castile, Eleanor of England Queen of Castile has child Eleanor of Castile died 1244 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Claude of France, Claude of France has child Madeleine of Valois The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Francis I of France, Francis I of France has child Madeleine of Valois The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry IV of France, Henry IV of France has child Henrietta Maria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
