Rule 7:
If child ?a, then predecessor ?b.
Madeleine of Valois, Claude of France has child Madeleine of Valois. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Madeleine of Valois, Francis I of France has child Madeleine of Valois. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Henrietta Maria, Henry IV of France has child Henrietta Maria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Henrietta Maria, Marie de Medici has child Henrietta Maria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Johann Adolf I Duke of Saxe Weissenfels, Anna Maria of Mecklenburg Schwerin has child Johann Adolf I Duke of Saxe Weissenfels. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduke Anton Victor of Austria, Leopold II Holy Roman Emperor has child Archduke Anton Victor of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Maria Christina of the Two Sicilies, Mar a Isabella of Spain has child Maria Christina of the Two Sicilies. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduke Charles Duke of Teschen, Maria Luisa of Spain has child Archduke Charles Duke of Teschen. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduke Charles Duke of Teschen, Leopold II Holy Roman Emperor has child Archduke Charles Duke of Teschen. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles III Philip Elector Palatine, Landgravine Elisabeth Amalie of Hesse Darmstadt has child Charles III Philip Elector Palatine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Luisa Carlotta of the Two Sicilies, Mar a Isabella of Spain has child Luisa Carlotta of the Two Sicilies. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Sancho IV of Castile has predecessor Alfonso X of Castile, Alfonso X of Castile has child Sancho IV of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Eleanor of Scotland, James I of Scotland has child Eleanor of Scotland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Sanchia of Provence, Beatrice of Savoy has child Sanchia of Provence. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Sanchia of Provence, Ramon Berenguer IV Count of Provence has child Sanchia of Provence. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Victor Amadeus I Duke of Savoy, Charles Emmanuel I Duke of Savoy has child Victor Amadeus I Duke of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Dobroniega Ludgarda of Poland, Salomea of Berg has child Dobroniega Ludgarda of Poland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Frances Grey Duchess of Suffolk, Mary Tudor Queen of France has child Frances Grey Duchess of Suffolk. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Prince Adolphus Duke of Cambridge, George III has child Prince Adolphus Duke of Cambridge. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Prince Adolphus Duke of Cambridge, Charlotte of Mecklenburg Strelitz has child Prince Adolphus Duke of Cambridge. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Sophia Eleonore of Hesse Darmstadt, Sophia Eleonore of Saxony has child Sophia Eleonore of Hesse Darmstadt. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles IV Holy Roman Emperor has predecessor John of Bohemia, John of Bohemia has child Charles IV Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Charles IV Holy Roman Emperor, Elizabeth of Bohemia 1292 1330 has child Charles IV Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Maria Anna of Bavaria born 1551, Archduchess Anna of Austria has child Maria Anna of Bavaria born 1551. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Roman Catholic Archdiocese of Cambrai, Sibylla of Anjou has child Roman Catholic Archdiocese of Cambrai. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduchess Maria Anna of Austria born 1770, Leopold II Holy Roman Emperor has child Archduchess Maria Anna of Austria born 1770. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Isabel of Viseu, Beatriz of Portugal Duchess of Viseu has child Isabel of Viseu. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Isabel of Viseu, Ferdinand Duke of Viseu has child Isabel of Viseu. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
 lfweard of Wessex, Edward the Elder has child  lfweard of Wessex. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
 lfweard of Wessex,  lffl d wife of Edward the Elder has child  lfweard of Wessex. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Princess Louisa of Great Britain, Princess Augusta of Saxe Gotha has child Princess Louisa of Great Britain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Eleanor of Castile 1307 1359, Ferdinand IV of Castile has child Eleanor of Castile 1307 1359. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Maria Theresa of Savoy, Victor Amadeus III of Sardinia has child Maria Theresa of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Maria Theresa of Savoy, Maria Antonia Ferdinanda of Spain has child Maria Theresa of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduchess Maria Maddalena of Austria, Maria Anna of Bavaria born 1551 has child Archduchess Maria Maddalena of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Ingeborg of Denmark Queen of France, Valdemar I of Denmark has child Ingeborg of Denmark Queen of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Infanta Maria Josefa of Spain, Maria Amalia of Saxony has child Infanta Maria Josefa of Spain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Maria Beatrice of Savoy, Maria Theresa of Austria Este Queen of Sardinia has child Maria Beatrice of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Hugh Capet, Hedwig of Saxony has child Hugh Capet. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Ren  Marquis of Elbeuf, Antoinette of Bourbon has child Ren  Marquis of Elbeuf. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Elisabeth of Lorraine, Charles III Duke of Lorraine has child Elisabeth of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Henry II of France, Claude of France has child Henry II of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Henry II of France has predecessor Francis I of France, Francis I of France has child Henry II of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Peter Tempesta, Mary of Hungary Queen of Naples has child Peter Tempesta. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis C sar Count of Vexin, Louis XIV has child Louis C sar Count of Vexin. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Princess Maria Christina of Saxony 1735 1782, Maria Josepha of Austria has child Princess Maria Christina of Saxony 1735 1782. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduke Joseph of Austria Palatine of Hungary, Maria Luisa of Spain has child Archduke Joseph of Austria Palatine of Hungary. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduke Joseph of Austria Palatine of Hungary, Leopold II Holy Roman Emperor has child Archduke Joseph of Austria Palatine of Hungary. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Francis II Holy Roman Emperor, Leopold II Holy Roman Emperor has child Francis II Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Francis II Holy Roman Emperor, Maria Luisa of Spain has child Francis II Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Clemence of Austria, Gertrude of Hohenberg has child Clemence of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Clemence of Austria, Rudolf I of Germany has child Clemence of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Sancha of Aragon Countess of Toulouse, Alfonso II of Aragon has child Sancha of Aragon Countess of Toulouse. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Isabella of France Dauphine of Viennois, Philip V of France has child Isabella of France Dauphine of Viennois. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Hedwig Jagiellon Duchess of Bavaria, Elizabeth of Austria 1436 1505 has child Hedwig Jagiellon Duchess of Bavaria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Sophie of France 1786 1787, Marie Antoinette has child Sophie of France 1786 1787. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Sophie of France 1786 1787, Louis XVI has child Sophie of France 1786 1787. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Robert Count of Clermont, Margaret of Provence has child Robert Count of Clermont. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Robert Count of Clermont, Louis IX of France has child Robert Count of Clermont. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis II Elector of Brandenburg, Louis IV Holy Roman Emperor has child Louis II Elector of Brandenburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Frederick I Count of Vaud mont, John I Duke of Lorraine has child Frederick I Count of Vaud mont. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Elizabeth of York, Elizabeth Woodville has child Elizabeth of York. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Prince Alberto of Naples and Sicily, Ferdinand I of the Two Sicilies has child Prince Alberto of Naples and Sicily. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Prince Alberto of Naples and Sicily, Maria Carolina of Austria has child Prince Alberto of Naples and Sicily. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louise Ad la de d Orl ans, Philippe II Duke of Orl ans has child Louise Ad la de d Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louise Ad la de d Orl ans, Fran oise Marie de Bourbon has child Louise Ad la de d Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Maria Anna of Savoy Duchess of Chablais, Maria Antonia Ferdinanda of Spain has child Maria Anna of Savoy Duchess of Chablais. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Maria Anna of Savoy Duchess of Chablais, Victor Amadeus III of Sardinia has child Maria Anna of Savoy Duchess of Chablais. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Countess of Pembroke, Jacquetta of Luxembourg has child Countess of Pembroke. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Elisabeth of Austria Queen of France, Maximilian II Holy Roman Emperor has child Elisabeth of Austria Queen of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Sviatoslav II of Kiev, Yaroslav the Wise has child Sviatoslav II of Kiev. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Sviatoslav II of Kiev, Ingegerd Olofsdotter of Sweden has child Sviatoslav II of Kiev. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Vsevolod I of Kiev, Ingegerd Olofsdotter of Sweden has child Vsevolod I of Kiev. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Vsevolod I of Kiev, Yaroslav the Wise has child Vsevolod I of Kiev. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Radegonde of Valois, Charles VII of France has child Radegonde of Valois. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Radegonde of Valois, Marie of Anjou has child Radegonde of Valois. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Prince Francis Count of Trapani, Mar a Isabella of Spain has child Prince Francis Count of Trapani. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Simon II Duke of Lorraine has predecessor Matthias I Duke of Lorraine, Matthias I Duke of Lorraine has child Simon II Duke of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Louis Duke of Durazzo, Joan II of Navarre has child Louis Duke of Durazzo. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Rozala of Italy, Berengar II of Italy has child Rozala of Italy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Rozala of Italy, Willa of Tuscany has child Rozala of Italy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Yolanda of Courtenay, Yolanda Latin Empress has child Yolanda of Courtenay. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Bonne of Luxembourg, John of Bohemia has child Bonne of Luxembourg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
